LoVoCCS_name,cent_ra,cent_ra-,cent_ra+,cent_dec,cent_dec-,cent_dec+,position_angle,position_angle-,position_angle+,ax_ratio,ax_ratio-,ax_ratio+
LoVoCCS-1,227.73319,2e-05,2e-05,5.74323,2e-05,2e-05,-163.2287,0.1878,0.2336,0.9179,0.001,0.0012
LoVoCCS-2,44.73666,0.00015,0.0002,13.57764,0.00016,0.00016,-66.6192,4.4151,4.5963,0.9725,0.0055,0.0046
LoVoCCS-4,10.46009,3e-05,3e-05,-9.30464,5e-05,3e-05,157.3862,0.1785,0.1713,0.8917,0.0011,0.0009
LoVoCCS-5,303.14178,0.00013,0.00013,-56.83836,7e-05,7e-05,-49.9254,0.2451,0.1678,0.8331,0.0013,0.0011
LoVoCCS-7,330.47797,0.00019,0.0002,-59.94793,0.00011,0.00012,-168.0726,0.8656,0.8021,0.9492,0.0036,0.0038
LoVoCCS-9,67.84353,0.00024,0.00018,-61.43197,0.00012,0.0001,237.5834,0.4465,0.5927,0.9162,0.0019,0.0016
LoVoCCS-10,194.84203,0.00015,0.00015,-4.19343,0.0002,0.00018,250.5509,2.9418,2.9787,0.9564,0.0058,0.0067
LoVoCCS-11,137.28974,0.00012,0.00013,-9.67281,0.00012,8e-05,-85.2683,0.3812,0.2769,0.9702,0.0016,0.0021
LoVoCCS-12,206.86647,0.00011,0.00012,-32.85173,0.0001,0.00012,-171.5852,0.3766,0.3624,0.9545,0.0018,0.002
LoVoCCS-13,49.49216,4e-05,3e-05,-44.23443,4e-05,3e-05,-171.271,0.2555,0.2944,0.953,0.0015,0.0014
LoVoCCS-14,44.4594,0.00026,0.00027,13.04874,0.00024,0.00024,-157.6564,2.2334,1.8595,0.9412,0.0055,0.0055
LoVoCCS-15,351.33181,2e-05,2e-05,-12.12398,2e-05,2e-05,146.202,0.2183,0.2201,0.7865,0.0014,0.0014
LoVoCCS-18,194.67269,0.0001,8e-05,-1.7599,0.0001,8e-05,161.3553,0.6202,0.8108,0.9184,0.0042,0.0021
LoVoCCS-21,201.99579,0.00013,0.00013,-31.5026,0.00011,0.00012,163.5227,0.5656,0.5396,0.9365,0.0021,0.0023
LoVoCCS-22,308.69569,0.00038,0.00023,-35.82368,0.00029,0.00024,149.2326,2.1047,2.1069,0.9006,0.0059,0.0079
LoVoCCS-24,342.4949,0.00037,0.00047,-64.42976,0.00011,0.00013,265.9858,0.8526,0.5431,0.9739,0.0054,0.0039
LoVoCCS-26,333.63265,0.00019,0.00022,-10.37354,0.00014,0.00019,-83.222,4.5652,3.4686,0.9844,0.0087,0.0103
LoVoCCS-27,55.72004,0.0003,0.00023,-53.63074,0.00013,0.00014,-83.5711,0.5215,0.6187,0.9614,0.0037,0.0028
LoVoCCS-28,184.41829,0.00017,0.00014,3.6586,0.00013,0.00015,-138.5359,0.9365,1.3352,0.8862,0.0042,0.0042
LoVoCCS-29,10.53247,0.00013,0.00018,-28.53673,0.00014,0.00013,141.9387,1.2009,1.2085,0.8628,0.0052,0.0049
