,Tx,Tx_err,rad,rad_width
0,4.911,0.219,36.302,36.302
1,3.41,0.105,90.754,18.151
2,4.409,0.167,127.056,18.151
3,5.293,0.231,163.358,18.151
4,5.1,0.225,199.66,18.151
5,5.156,0.263,235.961,18.151
6,4.97,0.245,272.263,18.151
7,5.02,0.28,308.565,18.151
8,4.837,0.269,344.866,18.151
9,5.093,0.35,381.168,18.151
10,4.826,0.316,417.47,18.151
11,5.24,0.407,453.772,18.151
12,5.38,0.459,490.073,18.151
13,4.394,0.365,526.375,18.151
14,5.166,0.468,562.677,18.151
15,4.335,0.434,598.979,18.151
16,4.309,0.378,653.431,36.302
17,3.476,0.349,726.035,36.302
18,2.935,0.237,798.638,36.302
19,2.187,0.131,871.242,36.302
20,2.991,0.489,961.996,54.453
