name,Tx_300kpc,Tx_300kpc-,Tx_300kpc+,met_300kpc,met_300kpc-,met_300kpc+,Lx52_300kpc,Lx52_300kpc-,Lx52_300kpc+,Lxbol_300kpc,Lxbol_300kpc-,Lxbol_300kpc+,Tx_500kpc,Tx_500kpc-,Tx_500kpc+,met_500kpc,met_500kpc-,met_500kpc+,Lx52_500kpc,Lx52_500kpc-,Lx52_500kpc+,Lxbol_500kpc,Lxbol_500kpc-,Lxbol_500kpc+,Tx_1000kpc,Tx_1000kpc-,Tx_1000kpc+,met_1000kpc,met_1000kpc-,met_1000kpc+,Lx52_1000kpc,Lx52_1000kpc-,Lx52_1000kpc+,Lxbol_1000kpc,Lxbol_1000kpc-,Lxbol_1000kpc+,Tx_500-1000kpc,Tx_500-1000kpc-,Tx_500-1000kpc+,met_500-1000kpc,met_500-1000kpc-,met_500-1000kpc+,Lx52_500-1000kpc,Lx52_500-1000kpc-,Lx52_500-1000kpc+,Lxbol_500-1000kpc,Lxbol_500-1000kpc-,Lxbol_500-1000kpc+
LoVoCCS-1,6.643,0.013,0.013,0.422,0.003,0.003,4.164,0.004,0.006,15.652,0.028,0.021,6.707,0.012,0.012,0.4,0.003,0.003,5.006,0.007,0.005,18.871,0.028,0.029,6.517,0.015,0.016,0.373,0.004,0.004,5.839,0.006,0.01,21.679,0.037,0.035,5.318,0.082,0.082,0.077,0.02,0.02,0.704,0.007,0.006,2.327,0.022,0.025
LoVoCCS-10,5.848,0.072,0.072,0.364,0.02,0.02,1.765,0.009,0.008,6.231,0.046,0.039,5.754,0.062,0.068,0.334,0.018,0.018,2.324,0.009,0.011,8.126,0.06,0.059,,,,,,,,,,,,,4.129,0.202,0.213,0.0,0.0,0.039,0.517,0.007,0.017,1.52,0.058,0.062
LoVoCCS-11,7.852,0.075,0.075,0.296,0.014,0.015,1.076,0.002,0.003,4.302,0.016,0.021,7.861,0.065,0.065,0.282,0.012,0.012,1.752,0.004,0.006,6.999,0.037,0.032,7.668,0.079,0.086,0.286,0.016,0.016,2.203,0.005,0.005,8.716,0.051,0.039,7.827,0.317,0.334,0.339,0.073,0.075,0.417,0.005,0.004,1.669,0.039,0.041
LoVoCCS-119,2.837,0.015,0.015,0.447,0.01,0.01,0.445,0.002,0.002,1.129,0.007,0.005,3.009,0.018,0.018,0.403,0.009,0.01,0.563,0.002,0.002,1.464,0.007,0.007,2.81,0.026,0.026,0.307,0.01,0.01,0.744,0.003,0.003,1.882,0.013,0.013,3.909,0.263,0.226,0.0,0.0,0.009,0.112,0.002,0.003,0.322,0.009,0.01
LoVoCCS-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LoVoCCS-121,2.791,0.042,0.042,0.249,0.016,0.016,0.233,0.001,0.001,0.59,0.006,0.004,2.319,0.044,0.048,0.211,0.014,0.015,0.325,0.002,0.002,0.771,0.01,0.007,1.701,0.093,0.065,0.203,0.042,0.039,0.387,0.01,0.008,0.841,0.038,0.029,0.605,0.275,0.86,4.725,4.412,-4.725,0.01,0.01,0.002,0.012,0.012,0.009
LoVoCCS-123,4.308,0.059,0.065,0.314,0.021,0.022,0.415,0.003,0.003,1.263,0.013,0.011,4.115,0.077,0.076,0.246,0.025,0.026,0.53,0.003,0.003,1.576,0.019,0.012,3.884,0.138,0.146,0.155,0.042,0.044,0.685,0.01,0.009,1.979,0.051,0.035,3.618,0.431,0.569,0.0,0.0,0.047,0.112,0.006,0.006,0.312,0.024,0.035
LoVoCCS-13,4.201,0.007,0.007,0.473,0.003,0.003,1.883,0.003,0.002,5.71,0.008,0.011,4.2,0.008,0.008,0.441,0.003,0.003,2.185,0.003,0.003,6.617,0.011,0.007,,,,,,,,,,,,,2.348,0.052,0.053,0.026,0.01,0.01,0.218,0.003,0.003,0.525,0.01,0.007
LoVoCCS-131,4.268,0.114,0.131,0.255,0.039,0.041,0.511,0.008,0.008,1.547,0.031,0.028,4.267,0.112,0.124,0.217,0.035,0.037,0.74,0.007,0.007,2.233,0.045,0.028,4.415,0.163,0.168,0.186,0.047,0.05,1.04,0.016,0.013,3.183,0.087,0.058,4.437,0.559,0.72,0.0,0.0,0.158,0.244,0.011,0.016,0.741,0.036,0.093
LoVoCCS-134,3.792,0.101,0.11,0.16,0.033,0.034,0.177,0.002,0.002,0.507,0.01,0.009,3.618,0.086,0.094,0.139,0.026,0.027,0.332,0.004,0.003,0.931,0.016,0.013,2.845,0.101,0.105,0.094,0.025,0.026,0.568,0.007,0.007,1.449,0.028,0.026,1.925,0.12,0.15,0.029,0.025,0.028,0.205,0.008,0.006,0.471,0.023,0.02
LoVoCCS-14,6.469,0.106,0.113,0.255,0.023,0.023,0.932,0.006,0.006,3.416,0.031,0.03,6.294,0.087,0.087,0.227,0.019,0.019,1.421,0.005,0.008,5.131,0.047,0.033,5.982,0.11,0.11,0.233,0.026,0.025,2.039,0.014,0.014,7.198,0.083,0.075,5.586,0.298,0.349,0.194,0.087,0.09,0.575,0.012,0.013,1.961,0.053,0.08
LoVoCCS-15,3.475,0.007,0.007,0.321,0.003,0.003,2.044,0.005,0.005,5.653,0.012,0.017,3.583,0.007,0.007,0.315,0.003,0.003,2.292,0.005,0.004,6.425,0.014,0.016,3.453,0.009,0.011,0.282,0.003,0.004,2.575,0.007,0.006,7.096,0.021,0.015,2.626,0.066,0.066,0.03,0.014,0.015,0.201,0.004,0.002,0.499,0.012,0.01
LoVoCCS-18,5.243,0.03,0.03,0.337,0.009,0.009,1.658,0.005,0.004,5.549,0.02,0.018,5.19,0.028,0.028,0.305,0.008,0.008,2.122,0.003,0.004,7.053,0.023,0.017,,,,,,,,,,,,,3.819,0.115,0.125,0.0,0.0,0.008,0.429,0.002,0.006,1.222,0.013,0.019
