name_x,LoVoCCS_name,LoVoCCSID_x,name_y,LoVoCCSID_y,Tmax,Tmax-,Tmax+,beta,beta-,beta+,inv_slope,inv_slope-,inv_slope+,Lx500_0.5-2.0,Lx500_0.5-2.0-,Lx500_0.5-2.0+,Lx500_0.01-100.0,Lx500_0.01-100.0-,Lx500_0.01-100.0+
LoVoCCS-0,LoVoCCS-0,0,LoVoCCS-0,0,10.6872,0.0589890300000011,0.1327253599999984,0.0104363,0.0104363,0.01110590952,0.691923,0.0537547082999999,0.0479603939,6.5371545760000005e+44,2.516517815147142e+43,2.0361674505742602e+43,2.5410418990000002e+45,9.072523744864327e+43,1.4271413041495788e+44
LoVoCCS-1,LoVoCCS-1,1,LoVoCCS-1,1,,,,,,,,,,,,,,,
LoVoCCS-2,LoVoCCS-2,2,LoVoCCS-2,2,,,,,,,,,,,,,,,
LoVoCCS-3,LoVoCCS-3,3,LoVoCCS-3,3,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
LoVoCCS-4,LoVoCCS-4,4,LoVoCCS-4,4,,,,,,,,,,,,,,,
LoVoCCS-5,LoVoCCS-5,5,LoVoCCS-5,5,,,,,,,,,,,,,,,
LoVoCCS-6,LoVoCCS-6,6,LoVoCCS-6,6,8.9746,0.4806359640000011,0.4439152209999992,0.0116032,0.0116032,0.0141252236,0.828112,0.1237836748999999,0.1396972452,1.7789854270000003e+44,3.34969145288603e+42,3.7868989941716004e+41,6.312798078e+44,3.45571404636337e+42,1.944580001719801e+43
LoVoCCS-7,LoVoCCS-7,7,LoVoCCS-7,7,11.0876,0.3602017899999996,0.5810633099999993,0.01,0.01,0.00176102809,1.29786,0.118076179,0.217862084,3.035988926e+44,7.347256148105711e+42,3.71826353532108e+42,1.1275123320000002e+45,4.2957772301420565e+43,6.283636890949322e+43
LoVoCCS-8,LoVoCCS-8,8,LoVoCCS-8,8,7.56614,0.1173100199999996,0.1022045729999998,0.0161957,0.0161957,0.0117861562899999,0.641968,0.0318362288,0.0416972203,2.9179699690000005e+44,2.4961541237270203e+42,1.0550632664461502e+42,9.825904514e+44,4.90219574254722e+42,8.48859322611741e+42
LoVoCCS-9,LoVoCCS-9,9,LoVoCCS-9,9,,,,,,,,,,,,,,,
LoVoCCS-10,LoVoCCS-10,10,LoVoCCS-10,10,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
LoVoCCS-11,LoVoCCS-11,11,LoVoCCS-11,11,,,,,,,,,,,,,,,
LoVoCCS-12,LoVoCCS-12,12,LoVoCCS-12,12,,,,,,,,,,,,,,,
LoVoCCS-13,LoVoCCS-13,13,LoVoCCS-13,13,7.59469,0.0242024479999996,0.0262340100000004,0.182288,0.0015068468999999,0.0011517369,10.0,0.4055521530000003,-10.0,1.474187027e+44,4.0546185959728004e+41,3.669277922476441e+42,4.5481271330000006e+44,5.146309252584357e+43,5.562721313985241e+42
