name,xmm_pointed_MCXC_R500,xmm_pointed_0.3Mpc,xmm_pointed_0.5Mpc,xmm_pointed_1.0Mpc,xmm_pointed_2.0Mpc,chandra_MCXC_R500,chandra_0.3Mpc,chandra_0.5Mpc,chandra_1.0Mpc,chandra_2.0Mpc,rosat_pointed_pspc_MCXC_R500,rosat_pointed_pspc_0.3Mpc,rosat_pointed_pspc_0.5Mpc,rosat_pointed_pspc_1.0Mpc,rosat_pointed_pspc_2.0Mpc,rosat_pointed_hri_MCXC_R500,rosat_pointed_hri_0.3Mpc,rosat_pointed_hri_0.5Mpc,rosat_pointed_hri_1.0Mpc,rosat_pointed_hri_2.0Mpc,nustar_pointed_MCXC_R500,nustar_pointed_0.3Mpc,nustar_pointed_0.5Mpc,nustar_pointed_1.0Mpc,nustar_pointed_2.0Mpc,swift_xrt_MCXC_R500,swift_xrt_0.3Mpc,swift_xrt_0.5Mpc,swift_xrt_1.0Mpc,swift_xrt_2.0Mpc,asca_MCXC_R500,asca_0.3Mpc,asca_0.5Mpc,asca_1.0Mpc,asca_2.0Mpc,suzaku_MCXC_R500,suzaku_0.3Mpc,suzaku_0.5Mpc,suzaku_1.0Mpc,suzaku_2.0Mpc,erosita_all_sky_de_dr1_MCXC_R500,erosita_all_sky_de_dr1_0.3Mpc,erosita_all_sky_de_dr1_0.5Mpc,erosita_all_sky_de_dr1_1.0Mpc,erosita_all_sky_de_dr1_2.0Mpc
LoVoCCS-1,1.0,1.0,1.0,1.0,0.97,1.0,1.0,1.0,1.0,0.95,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.94,0.8,1.0,1.0,0.99,0.51,1.0,1.0,1.0,1.0,0.87,1.0,1.0,1.0,1.0,0.99,0.0,0.0,0.0,0.0,0.0
LoVoCCS-2,1.0,1.0,1.0,1.0,0.98,1.0,1.0,1.0,1.0,0.91,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.99,1.0,1.0,1.0,1.0,0.93,0.39,0.0,0.18,0.36,0.43,0.0,0.0,0.0,0.0,0.0
LoVoCCS-4A,0.99,1.0,1.0,1.0,0.86,1.0,1.0,1.0,1.0,0.92,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99,0.0,0.0,0.0,0.0,0.0,0.51,1.0,1.0,0.74,0.22,0.99,1.0,1.0,1.0,0.53,0.54,1.0,0.91,0.66,0.33,0.0,0.0,0.0,0.0,0.0
LoVoCCS-4B,0.94,1.0,1.0,0.96,0.83,1.0,1.0,1.0,1.0,0.81,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.96,0.0,0.0,0.0,0.0,0.0,0.48,0.98,0.76,0.51,0.29,0.93,1.0,1.0,1.0,0.53,0.73,1.0,1.0,0.89,0.39,0.0,0.0,0.0,0.0,0.0
LoVoCCS-5,1.0,1.0,1.0,1.0,0.82,0.96,1.0,1.0,0.99,0.66,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99,0.99,1.0,1.0,0.99,0.54,0.58,1.0,1.0,0.73,0.32,0.96,1.0,1.0,1.0,0.77,0.88,1.0,1.0,0.95,0.57,1.0,1.0,1.0,1.0,1.0
LoVoCCS-7,1.0,1.0,1.0,1.0,0.98,0.69,1.0,1.0,0.75,0.44,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.34,0.2,0.29,0.34,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
LoVoCCS-9,1.0,1.0,1.0,1.0,0.9,0.7,1.0,1.0,0.78,0.37,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.67,0.69,1.0,1.0,0.82,0.23,0.98,1.0,1.0,1.0,0.56,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
LoVoCCS-10,1.0,1.0,1.0,1.0,0.5,0.96,1.0,1.0,0.99,0.53,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.99,1.0,1.0,0.99,0.98,1.0,1.0,1.0,1.0,0.6,1.0,1.0,1.0,1.0,0.81,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
LoVoCCS-11,1.0,1.0,1.0,1.0,0.97,1.0,1.0,1.0,1.0,0.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.87,1.0,1.0,0.91,0.52,0.58,1.0,0.81,0.61,0.34,1.0,1.0,1.0,1.0,0.48,0.63,1.0,1.0,0.74,0.22,1.0,1.0,1.0,1.0,1.0
LoVoCCS-12,0.51,1.0,1.0,0.6,0.21,0.39,0.97,0.81,0.5,0.13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.76,0.82,1.0,1.0,0.97,0.28,0.24,1.0,0.95,0.32,0.17,0.95,1.0,1.0,1.0,0.47,0.37,1.0,1.0,0.49,0.12,1.0,1.0,1.0,1.0,1.0
LoVoCCS-13,1.0,1.0,1.0,1.0,0.44,1.0,1.0,1.0,1.0,0.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.89,0.96,1.0,1.0,0.99,0.62,1.0,1.0,1.0,1.0,0.79,1.0,1.0,1.0,1.0,0.99,1.0,1.0,1.0,1.0,1.0
