name,para_icm_bcg_kpc_sep,perp_icm_bcg_kpc_sep,para_icm_red_seq_kpc_sep,perp_icm_red_seq_kpc_sep,para_icm_wlm_kpc_sep,perp_icm_wlm_kpc_sep
LoVoCCS-1,7.90391,-0.45754,146.14163,-6.47207,157.00254,56.13731
LoVoCCS-2,8.33723,33.05429,24.31311,20.20944,11.93968,33.07193
LoVoCCS-4,,,,,,
LoVoCCS-5,-110.52595,-35.33815,21.15631,27.60117,0.62357,-36.35839
LoVoCCS-7,-1.82102,52.53148,70.43515,-8.35951,10.64052,127.17875
LoVoCCS-9,-177.8732,18.6914,-98.9851,6.56177,-151.99698,100.89048
LoVoCCS-10,3.66642,-17.53736,43.96846,-32.59976,-83.13668,-20.0897
LoVoCCS-11,-591.06676,113.50169,-630.37046,102.61849,-564.45202,42.6601
LoVoCCS-12,-31.87977,-10.00871,-69.01976,34.65877,-138.17049,-84.12531
LoVoCCS-13,-20.59868,5.87688,75.92766,-45.29702,-196.5736,-37.66003
LoVoCCS-14,-60.02681,-86.09111,-177.69674,17.28365,-71.1523,-12.64877
LoVoCCS-15,1.55455,1.34166,-116.93708,-45.31036,-10.98079,-45.98396
LoVoCCS-18,8.26069,-1.71908,60.03083,23.85783,79.85352,-57.19721
LoVoCCS-21,-29.29632,-22.35647,33.21457,-111.67896,-88.00522,-36.5983
LoVoCCS-22,-17.026,-31.74392,-220.82668,88.92499,-2.04369,-36.19336
LoVoCCS-24,-12.14324,1.7445,-335.26256,19.40203,-48.59215,483.61746
LoVoCCS-26,-6.03153,-4.1957,38.0858,49.70943,-22.41188,169.56675
LoVoCCS-27,18.37419,-3.04358,137.88245,-45.59176,145.8431,-55.16527
LoVoCCS-28,0.83359,-21.37859,57.64519,-13.93581,-100.0417,7.4059
LoVoCCS-29,13.99511,29.46593,54.25072,35.53033,57.34532,55.80016
LoVoCCS-30,2.72394,-0.33287,112.76501,-10.13514,86.42128,-56.46278
LoVoCCS-31,-9.4551,36.0013,-161.19399,-1.67586,-38.64911,107.99289
LoVoCCS-33,,,,,,
LoVoCCS-35,-152.184,-33.22787,-506.17161,-98.81317,-232.18101,-147.19271
LoVoCCS-39,3.65505,-3.58785,-85.48749,-0.56176,-179.47423,256.82557
LoVoCCS-41B,-920.27951,52.95538,-968.55711,62.49257,-78.27439,-0.13843
LoVoCCS-41C,,,,,,
LoVoCCS-41A,25.91387,-19.69255,-23.24813,-21.87939,856.48153,128.45916
LoVoCCS-42,-111.86096,2.55249,85.62278,-13.93142,30.72749,-83.90326
LoVoCCS-45,-77.06993,-24.53884,209.83065,95.20863,530.78732,-17.77792
LoVoCCS-46A,146.29612,41.94488,-88.14258,12.37018,119.28818,-76.35731
LoVoCCS-46B,-557.10525,113.66548,-787.12585,59.5666,-571.50467,-6.82308
LoVoCCS-46C,317.09151,11.56048,80.83861,7.00709,277.69366,-103.21167
LoVoCCS-48A,-0.21795,8.20959,572.8381,-21.86585,7.35834,-1.6035
LoVoCCS-48B,-573.62375,94.57089,9.17781,232.95413,-563.15002,86.97015
LoVoCCS-49,-3.43045,-3.792,271.50312,92.83163,-15.61271,29.11041
LoVoCCS-51,-8.6096,13.62202,-61.7237,0.75319,-316.15712,-113.67475
LoVoCCS-55,,,,,,
LoVoCCS-58,-80.57923,12.27007,-124.33636,6.42995,-121.79436,106.28972
LoVoCCS-60B,20.96579,-6.77056,37.82022,49.70548,-657.59829,39.08504
LoVoCCS-60A,656.99638,17.66062,679.79471,72.00996,-12.7705,135.83118
LoVoCCS-61,121.43827,89.26213,-127.06067,24.43815,120.02259,122.01735
LoVoCCS-63,-43.33476,-4.40984,-126.21706,-48.61448,-43.41894,-53.90979
LoVoCCS-65,-123.52596,81.90531,-84.90347,118.8285,-78.9089,186.16858
LoVoCCS-66A,36.70826,3.59856,-34.42328,42.96921,-40.8756,-28.37071
LoVoCCS-66B,635.74646,868.60429,555.782,853.92679,596.04151,794.67995
LoVoCCS-67,4.21455,1.1143,-38.4278,22.00252,21.57963,-178.32308
LoVoCCS-74,-40.65822,-20.99292,-19.64958,27.16782,-88.67013,-8.2308
LoVoCCS-75,24.72452,-4.86382,147.8389,-21.8719,73.24079,-383.95916
LoVoCCS-76,3.00609,-8.96092,74.10731,-21.46041,,
LoVoCCS-80,-11.28843,-3.89906,-8.90331,5.38289,-10.42502,-4.06018
LoVoCCS-85,-7.69629,-0.00972,-45.85476,-42.53373,71.01104,111.3496
LoVoCCS-89,-6.73431,15.21146,-89.16986,-48.56393,-85.07197,-37.16043
LoVoCCS-90,-8.47811,-9.8064,,,,
LoVoCCS-93B,754.70445,457.43005,574.00188,398.77619,71.38729,-216.32508
LoVoCCS-93A,-22.28079,-35.09238,-182.64305,-136.96308,-515.95533,-857.98592
LoVoCCS-94,8.8087,-1.04796,-73.2879,-10.28636,-64.63011,-38.21093
LoVoCCS-98,-14.57465,-4.25442,4.27581,19.54634,-0.79083,105.78421
LoVoCCS-99,16.33318,-14.64768,-52.07083,58.70974,-4.3801,12.98628
LoVoCCS-108,,,,,,
LoVoCCS-119,8.82769,-10.04697,94.57764,-34.66729,-18.44705,45.74484
LoVoCCS-121,364.94125,-696.33997,452.86306,-387.12723,608.71878,-399.60782
LoVoCCS-122,,,,,,
LoVoCCS-123,-840.23097,226.53062,-873.89086,244.85642,-835.6687,296.31146
LoVoCCS-131,-10.81259,2.46576,184.83225,-62.22478,-36.75744,-23.10703
LoVoCCS-134,-136.88482,24.87036,-311.60567,93.28628,,
