name,icm_bcg_arcmin_sep,icm_bcg_kpc_sep,icm_red_seq_arcmin_sep,icm_red_seq_kpc_sep,icm_wlm_arcmin_sep,icm_wlm_kpc_sep
LoVoCCS-1,0.09202,7.91714,1.70029,146.28484,1.93801,166.73691
LoVoCCS-2,0.40944,34.08941,0.37973,31.6154,0.42231,35.16104
LoVoCCS-4B,7.76105,495.63413,8.00539,511.23794,6.12123,390.91215
LoVoCCS-4A,0.06701,4.27954,3.33447,212.94495,1.83676,117.29874
LoVoCCS-5,1.81372,116.02293,0.54357,34.77165,0.56842,36.36157
LoVoCCS-7,0.48915,52.55452,0.66016,70.92831,1.18767,127.60351
LoVoCCS-9,2.64895,178.82805,1.46928,99.18932,2.70189,182.40153
LoVoCCS-10,0.19048,17.91651,0.58191,54.73541,0.9093,85.5295
LoVoCCS-11,9.63605,601.86347,10.22527,638.66592,9.06282,566.05941
LoVoCCS-12,0.72869,33.41393,1.68426,77.23187,3.52773,161.76448
LoVoCCS-13,0.2532,21.42028,1.04506,88.40956,2.36589,200.14857
LoVoCCS-14,1.28774,104.95163,2.19059,178.53501,0.88671,72.26782
LoVoCCS-15,0.02167,2.05344,1.32336,125.408,0.49888,47.27658
LoVoCCS-18,0.0897,8.43767,0.68677,64.59796,1.04427,98.22477
LoVoCCS-21,0.66144,36.85109,2.09125,116.50978,1.71073,95.31009
LoVoCCS-22,0.36396,36.01953,2.40547,238.05864,0.36628,36.24932
LoVoCCS-24,0.11849,12.26556,3.24343,335.75882,4.69525,486.05006
LoVoCCS-26,0.06838,7.3473,0.58285,62.62217,1.59196,171.04144
LoVoCCS-27,0.27541,18.62221,2.14755,145.20797,2.30583,155.91041
LoVoCCS-28,0.24868,21.39483,0.68932,59.30574,1.16598,100.31542
LoVoCCS-29,0.27814,32.61944,0.55295,64.84798,0.68224,80.01043
LoVoCCS-30,0.04416,2.7442,1.82214,113.21949,1.66139,103.23119
LoVoCCS-31,0.3953,37.22203,1.71197,161.2021,1.21812,114.69995
LoVoCCS-33,,,,,,
LoVoCCS-35,1.46975,155.75563,4.86611,515.68269,2.59377,274.87349
LoVoCCS-39,0.04597,5.12172,0.76726,85.48933,2.81202,313.32115
LoVoCCS-41C,,,,,,
LoVoCCS-41A,0.34345,32.54727,0.33688,31.92465,9.13904,866.06138
LoVoCCS-41B,9.72724,921.80181,10.24187,970.57103,0.82599,78.27451
LoVoCCS-42,1.30972,111.87538,1.01541,86.7362,1.04597,89.34604
LoVoCCS-45,0.64495,80.8719,1.83735,230.39045,4.23496,531.03151
LoVoCCS-46B,5.67684,568.5825,7.88129,789.37648,5.70642,571.54537
LoVoCCS-46C,3.16801,317.30217,0.81014,81.14173,2.95786,296.25396
LoVoCCS-46A,1.5195,152.19043,0.88866,89.00638,1.4141,141.6337
LoVoCCS-48A,0.14947,8.21239,10.4332,573.25365,0.13706,7.53099
LoVoCCS-48B,10.13634,581.36243,4.06479,233.13314,9.93512,569.82144
LoVoCCS-49,0.03998,5.11343,2.24329,286.93357,0.25826,33.03279
LoVoCCS-51,0.15405,16.11371,0.59011,61.72651,3.21163,335.94139
LoVoCCS-55,,,,,,
LoVoCCS-58,0.82112,81.50808,1.25426,124.50249,1.6285,161.65165
LoVoCCS-60B,0.22107,22.03189,0.6267,62.45801,6.60995,658.75837
LoVoCCS-60A,6.59464,657.23332,6.85918,683.59767,1.36893,136.43016
LoVoCCS-61,1.29566,150.71401,1.11233,129.38946,1.47136,171.15251
LoVoCCS-63,0.34405,43.55855,1.06833,135.25574,0.54674,69.22044
LoVoCCS-65,2.7809,148.20896,2.74023,146.04141,3.79394,202.19932
LoVoCCS-66B,10.36848,1076.40283,9.81423,1018.86318,9.56863,993.36706
LoVoCCS-66A,0.35529,36.8841,0.53033,55.05641,0.47928,49.75653
LoVoCCS-67,0.07902,4.35922,0.80271,44.28098,3.25604,179.6185
LoVoCCS-74,0.39562,45.75426,0.2899,33.52814,0.76996,89.04823
LoVoCCS-75,0.2101,25.19833,1.24606,149.44781,3.25904,390.87796
LoVoCCS-76,0.09777,9.45164,0.79809,77.15184,,
LoVoCCS-80,0.12589,11.9428,0.10966,10.40296,0.11793,11.18775
LoVoCCS-85,0.06552,7.69623,0.53242,62.54191,1.12423,132.0602
LoVoCCS-89,0.13892,16.6352,0.84792,101.53618,0.77525,92.83352
LoVoCCS-90,0.14209,12.96316,,,,
LoVoCCS-93A,0.70984,41.56384,3.8983,228.26173,17.09655,1001.07382
LoVoCCS-93B,15.06979,882.39867,11.93502,698.84513,3.89041,227.7994
LoVoCCS-94,0.08386,8.8708,0.69963,74.00624,0.70979,75.08077
LoVoCCS-98,0.17668,15.18289,0.23284,20.00849,1.23104,105.78679
LoVoCCS-99,0.34411,21.93832,1.23084,78.47098,0.21496,13.7045
LoVoCCS-108,,,,,,
LoVoCCS-119,0.1124,13.37421,0.84656,100.73087,0.41453,49.32427
LoVoCCS-121,11.03528,786.07889,8.36273,595.70455,10.22107,728.07991
LoVoCCS-122,,,,,,
LoVoCCS-123,13.88465,870.22781,14.48,907.54168,14.14657,886.64398
LoVoCCS-131,0.10964,11.09012,1.92808,195.02436,0.42924,43.41697
LoVoCCS-134,1.64856,139.1251,3.85423,325.26541,,
