name,icm_bcg_delta_pa,icm_rs500kpc_delta_pa,icm_wlm500kpc_delta_pa
LoVoCCS-1,-10.441,1.327,22.347
LoVoCCS-2,86.893,85.08,30.557
LoVoCCS-4B,49.458,23.34,-1.856
LoVoCCS-4A,8.683,-17.436,-42.632
LoVoCCS-5,-4.178,1.61,-70.978
LoVoCCS-7,29.208,28.755,23.426
LoVoCCS-9,-24.011,-8.388,40.504
LoVoCCS-10,-6.915,-13.152,-40.935
LoVoCCS-11,-17.153,-14.623,-23.994
LoVoCCS-12,2.927,14.324,33.131
LoVoCCS-13,2.566,-27.77,-6.081
LoVoCCS-14,-25.113,-4.112,-35.136
LoVoCCS-15,6.51,4.637,-12.134
LoVoCCS-18,0.565,1.036,28.663
LoVoCCS-21,-1.555,26.223,2.505
LoVoCCS-22,-3.98,5.167,17.414
LoVoCCS-24,1.548,-3.869,72.281
LoVoCCS-26,12.367,21.199,-69.312
LoVoCCS-27,1.396,-8.787,80.72
LoVoCCS-28,33.325,-26.521,-19.397
LoVoCCS-29,11.209,45.533,59.074
LoVoCCS-30,8.628,-0.341,64.487
LoVoCCS-31,0.544,21.942,-57.397
LoVoCCS-33,,,
LoVoCCS-35,0.829,6.889,72.338
LoVoCCS-39,23.168,29.6,30.324
LoVoCCS-41C,,,
LoVoCCS-41A,-39.358,-3.565,8.222
LoVoCCS-41B,-53.08,-17.287,-5.499
LoVoCCS-42,39.226,1.393,-1.678
LoVoCCS-45,24.059,12.286,-58.684
LoVoCCS-46B,-17.088,-6.439,-54.048
LoVoCCS-46C,-29.219,-18.57,-66.179
LoVoCCS-46A,-23.133,-12.484,-60.093
LoVoCCS-48A,-21.094,39.133,14.153
LoVoCCS-48B,-4.732,55.495,30.514
LoVoCCS-49,-5.704,3.294,-3.608
LoVoCCS-51,74.159,-67.484,4.474
LoVoCCS-55,,,
LoVoCCS-58,17.814,22.982,-31.227
LoVoCCS-60B,-16.297,36.953,-4.96
LoVoCCS-60A,-22.437,30.813,-11.1
LoVoCCS-61,-39.157,11.693,-1.317
LoVoCCS-63,3.828,-7.249,34.813
LoVoCCS-65,-86.266,68.017,49.496
LoVoCCS-66B,42.259,76.706,37.254
LoVoCCS-66A,2.894,37.341,-2.111
LoVoCCS-67,-7.543,2.251,-27.794
LoVoCCS-74,43.788,-17.529,34.428
LoVoCCS-75,-27.278,-26.489,60.685
LoVoCCS-76,9.195,41.768,
LoVoCCS-80,3.284,41.139,32.742
LoVoCCS-85,25.556,-14.043,32.323
LoVoCCS-89,-8.481,-20.649,-80.892
LoVoCCS-90,44.379,,
LoVoCCS-93A,-6.494,-7.942,-17.168
LoVoCCS-93B,-20.937,-22.385,-31.611
LoVoCCS-94,6.91,-5.421,43.307
LoVoCCS-98,-87.67,38.052,4.699
LoVoCCS-99,-51.452,-19.37,-31.776
LoVoCCS-108,,,
LoVoCCS-119,-4.419,2.503,66.79
LoVoCCS-121,30.51,36.135,30.219
LoVoCCS-122,,,
LoVoCCS-123,-35.663,-36.921,-39.858
LoVoCCS-131,-9.562,-43.609,47.092
LoVoCCS-134,10.104,-12.743,
