name,LoVoCCSID,parent_LoVoCCSID,telescope_examined,SNR,examined_energy_band,proper_dist_resolution,morph_class,morph_class_modifiers,morph_notes
LoVoCCS-1,1,1,XMM,1686.73,0.5-2.0keV,6.24kpc/pix,CeP,,
LoVoCCS-2,2,2,XMM,310.37,0.5-2.0keV,6.04kpc/pix,S,+SD,SB discontinuity obvious to the bottom left (south-east) cluster
LoVoCCS-4A,4A,4,XMM,1958.89,0.5-2.0keV,4.63kpc/pix,CeP,+Pl+OI,"Two outer islands, one to the south (with irregular structure) and one to the west-south-west of the main cluster"
LoVoCCS-4B,4B,4,,,,,,,
LoVoCCS-5,5,5,XMM,854.47,0.5-2.0keV,4.64kpc/pix,S,+SD+PU+Ta,"A3667, famously complicated morphology."
LoVoCCS-7,7,7,XMM,363.38,0.5-2.0keV,7.79kpc/pix,S,+SD,"Would have been 'R', but for the apparent sharp-ish drop in surface brightness around much of the left (east) side - it is possible this is an instrumental effect."
LoVoCCS-9,9,9,XMM,1551.72,0.5-2.0keV,4.89kpc/pix,S,+PU+SD+OI,"Similarities to LoVoCCS-5; large and puffy but with clear structure in the middle; OI directly to the right (west) of central coordinate, part of but slightly extending from main emission"
LoVoCCS-10,10,10,XMM,254.51,0.5-2.0keV,6.82kpc/pix,R,,
LoVoCCS-11,11,11,XMM,867.04,0.5-2.0keV,4.53kpc/pix,S,+PU+Ta+SD,"'Tail' is below (south) the body of the emission, quite unusual structure but instrumental effects could be contributing; Overall quite similar in classification to LoVoCCS-5."
LoVoCCS-12,12,12,XMM,799.0,0.5-2.0keV,3.32kpc/pix,R,+SD,Slight sharp drop near core
LoVoCCS-13,13,13,XMM,1350.68,0.5-2.0keV,6.13kpc/pix,CeP,+OI+Ta,"Outer island to the south of the centre of the ICM; Tail less certain but to the south-west, may be a misinterpretation of another emission blob that doesn't quite qualify as an outer island."
LoVoCCS-14,14,14,XMM,214.15,0.5-2.0keV,5.91kpc/pix,S,+PU+SD,"Nearly classified as LFB, but there it isn't entirely flat in brightness; sharp drop to the left (east) of main centre, possibly partially an instrumental effect"
