name,cent_ra,cent_ra-,cent_ra+,cent_dec,cent_dec-,cent_dec+,position_angle,position_angle-,position_angle+,ax_ratio,ax_ratio-,ax_ratio+
LoVoCCS-1,227.73324,2e-05,2e-05,5.74338,3e-05,3e-05,-73.0512,0.203,0.2157,0.9202,0.0011,0.0012
LoVoCCS-2,44.73661,0.00017,0.00015,13.5773,0.00018,0.00016,23.7327,4.3632,3.8393,0.9746,0.0049,0.0043
LoVoCCS-4A,10.46006,3e-05,4e-05,-9.30457,4e-05,4e-05,67.2727,0.2179,0.1952,0.891,0.0009,0.001
LoVoCCS-4B,10.4633,0.00018,0.00016,-9.4328,0.00024,0.00029,-71.952,0.9161,1.0538,0.9176,0.0047,0.0038
LoVoCCS-5,303.14189,0.00014,0.00015,-56.83829,9e-05,7e-05,40.0924,0.219,0.2355,0.8262,0.0011,0.0012
LoVoCCS-7,330.47766,0.00011,0.00024,-59.94796,0.00011,0.00011,-78.3924,0.9435,0.8295,0.9519,0.0032,0.0037
LoVoCCS-9,67.84439,7e-05,8e-05,-61.43277,3e-05,5e-05,-33.7707,0.2053,0.2984,0.9303,0.0007,0.0006
LoVoCCS-10,194.84202,0.0002,0.00018,-4.19338,0.00018,0.00017,-19.6146,2.7007,2.8017,0.9552,0.0055,0.0062
LoVoCCS-11,137.28956,0.00012,0.00013,-9.67278,0.0001,0.0001,4.6972,0.3387,0.3087,0.9705,0.0019,0.002
LoVoCCS-12,206.86624,0.00013,0.00012,-32.85227,0.00013,0.00012,-81.7735,0.337,0.2966,0.9488,0.002,0.002
LoVoCCS-13,49.49205,2e-05,4e-05,-44.23444,3e-05,4e-05,-81.0936,0.3285,0.2694,0.9522,0.0016,0.0015
LoVoCCS-14,44.45951,0.00026,0.00026,13.04881,0.00024,0.00024,-68.2931,1.9195,2.6519,0.9424,0.0058,0.0068
LoVoCCS-15,351.33192,3e-05,3e-05,-12.12413,3e-05,2e-05,56.1901,0.2414,0.3212,0.8205,0.0018,0.0018
LoVoCCS-18,194.67273,7e-05,9e-05,-1.75993,9e-05,0.0001,71.5349,0.7551,0.6469,0.9173,0.0025,0.0029
LoVoCCS-21,201.99582,0.00011,0.00013,-31.50253,0.00014,0.00013,72.9447,0.5902,0.5292,0.9346,0.0022,0.0022
LoVoCCS-22,308.69555,0.00031,0.00034,-35.82373,0.00017,0.00034,59.1998,2.2343,1.8221,0.8974,0.0078,0.0055
LoVoCCS-24,342.49458,0.00028,0.00039,-64.42981,0.00013,0.00013,-3.5817,0.6688,0.8696,0.9769,0.004,0.0055
LoVoCCS-26,333.63262,0.0002,0.00022,-10.37348,0.00019,0.00018,7.5369,3.7574,4.484,0.9827,0.0104,0.0075
LoVoCCS-27,55.71625,0.00018,0.00021,-53.63021,0.00011,0.00015,3.9355,0.5397,0.8268,0.9814,0.0037,0.0028
LoVoCCS-28,184.41817,0.00016,0.00016,3.65849,0.00014,0.00016,-48.3948,1.3163,1.0859,0.8881,0.0037,0.0036
LoVoCCS-29,10.53251,0.00013,0.00015,-28.53675,0.00013,0.00011,51.999,1.0158,0.9643,0.8631,0.004,0.0044
LoVoCCS-30,139.52343,2e-05,2e-05,-12.09479,2e-05,2e-05,67.9577,0.2055,0.1598,0.9038,0.0007,0.0008
LoVoCCS-31,332.58371,0.00018,0.00018,-12.17421,0.00021,0.00019,-41.6462,2.3074,2.3653,0.9277,0.0053,0.006
LoVoCCS-35,341.5829,0.00034,0.00028,-52.73462,0.00018,0.0002,46.8493,0.5052,0.5753,0.7478,0.0033,0.0048
