name,cen_shift,cen_shift-,cen_shift+,concentration,concentration-,concentration+
LoVoCCS-1,0.0057,0.0001,0.0001,0.4412,0.0004,0.0005
LoVoCCS-2,0.0659,0.0005,0.0006,0.1638,0.0015,0.0018
LoVoCCS-4A,nan,nan,nan,nan,nan,nan
LoVoCCS-4B,nan,nan,nan,nan,nan,nan
LoVoCCS-5,0.0815,0.0005,0.0003,0.1245,0.0005,0.0005
LoVoCCS-7,0.0417,0.0007,0.0008,0.2388,0.0017,0.0014
LoVoCCS-9,0.0872,0.0002,0.0002,0.1468,0.0003,0.0003
LoVoCCS-10,0.013,0.0008,0.0007,0.267,0.0027,0.0026
LoVoCCS-11,0.0627,0.0002,0.0003,0.1687,0.0005,0.0005
LoVoCCS-12,0.0216,0.0002,0.0003,0.2826,0.0008,0.0008
LoVoCCS-13,0.0116,0.0001,0.0001,0.5144,0.0004,0.0005
LoVoCCS-14,0.064,0.001,0.0008,0.1427,0.0022,0.0025
LoVoCCS-15,0.0013,0.0001,0.0001,0.5943,0.0008,0.0008
LoVoCCS-18,0.0053,0.0004,0.0003,0.3308,0.0013,0.0017
LoVoCCS-21,0.034,0.0003,0.0003,0.2368,0.0008,0.0006
LoVoCCS-22,0.0541,0.0011,0.0011,0.2092,0.0025,0.0026
LoVoCCS-24,0.0322,0.0013,0.0017,0.2156,0.0017,0.0019
LoVoCCS-26,0.0082,0.0007,0.0008,0.3322,0.0036,0.0031
LoVoCCS-27,0.0123,0.0005,0.0005,0.2122,0.0012,0.0008
LoVoCCS-28,0.0181,0.0006,0.0005,0.1741,0.0015,0.0015
LoVoCCS-29,0.0031,0.0004,0.0005,0.2265,0.0023,0.0023
LoVoCCS-30,0.0036,0.0,0.0,0.5241,0.0003,0.0004
LoVoCCS-31,0.0337,0.0008,0.0007,0.1607,0.0023,0.002
LoVoCCS-35,0.083,0.0016,0.0015,0.1134,0.0017,0.0019
LoVoCCS-39,0.0051,0.0006,0.0008,0.7466,0.0049,0.0038
LoVoCCS-41A,0.023,0.0009,0.0007,0.2242,0.0028,0.0023
LoVoCCS-41B,0.0338,0.0014,0.0015,0.1728,0.005,0.0037
LoVoCCS-42,0.0382,0.0015,0.0011,0.1698,0.0022,0.0022
LoVoCCS-45,0.0091,0.0009,0.0009,0.1383,0.002,0.0021
LoVoCCS-46A,0.0952,0.0008,0.0011,0.2001,0.0027,0.0019
LoVoCCS-46B,0.0174,0.0021,0.0029,0.0889,0.0043,0.005
LoVoCCS-46C,0.0951,0.001,0.0008,0.2016,0.0022,0.0026
LoVoCCS-48A,0.0128,0.0005,0.0005,0.2039,0.0016,0.0019
LoVoCCS-48B,0.0856,0.0011,0.0012,0.1696,0.0025,0.0033
LoVoCCS-49,0.0032,0.0009,0.0009,0.4536,0.0034,0.0049
LoVoCCS-51,0.014,0.0011,0.0013,0.2963,0.0032,0.0031
LoVoCCS-58,0.0854,0.0018,0.0028,0.2433,0.0067,0.0064
LoVoCCS-60A,0.0775,0.0008,0.0008,0.1171,0.0015,0.0018
LoVoCCS-60B,0.0093,0.0005,0.0004,0.2641,0.002,0.0019
LoVoCCS-61,0.0514,0.0005,0.0005,0.2274,0.0015,0.0015
LoVoCCS-63,0.0111,0.0008,0.0009,0.2119,0.0022,0.0022
LoVoCCS-65,0.083,0.0014,0.0015,0.058,0.0019,0.0016
LoVoCCS-66A,0.023,0.0014,0.0015,0.3468,0.0054,0.0046
LoVoCCS-66B,0.0505,0.0025,0.0026,0.3013,0.0066,0.008
LoVoCCS-67,0.0062,0.0002,0.0002,0.4695,0.0006,0.0004
LoVoCCS-74,0.0161,0.0018,0.0022,0.2243,0.0053,0.0053
LoVoCCS-75,0.0217,0.0013,0.0014,0.4256,0.0045,0.0049
LoVoCCS-76,0.0085,0.0008,0.001,0.5049,0.0043,0.0043
LoVoCCS-80,0.0336,0.0013,0.0014,0.2469,0.0038,0.0029
LoVoCCS-85,0.0079,0.001,0.001,0.3389,0.0041,0.0045
LoVoCCS-89,0.0202,0.0022,0.0015,0.2283,0.0083,0.0088
LoVoCCS-90,0.0414,0.0023,0.0026,0.1547,0.0097,0.0112
LoVoCCS-93A,0.0481,0.0014,0.0014,0.1308,0.0025,0.0025
LoVoCCS-93B,0.0879,0.0016,0.0014,0.2059,0.0029,0.0031
LoVoCCS-94,0.019,0.0012,0.001,0.3877,0.0061,0.0054
LoVoCCS-98,0.0691,0.0009,0.0009,0.1994,0.0031,0.0027
LoVoCCS-99,0.0301,0.0013,0.0013,0.1364,0.0029,0.0036
LoVoCCS-119,0.0048,0.0004,0.0003,0.5271,0.0017,0.002
LoVoCCS-121,0.0811,0.0009,0.001,0.1871,0.0022,0.0022
LoVoCCS-123,0.0185,0.001,0.0007,0.5669,0.0039,0.0044
LoVoCCS-131,0.0124,0.0016,0.0016,0.193,0.0054,0.006
LoVoCCS-134,0.0272,0.0037,0.0044,0.0962,0.0032,0.0024
