name,peak_ra,peak_dec
LoVoCCS-1,227.734467,5.745184
LoVoCCS-2,44.740725,13.587128
LoVoCCS-4A,10.460369,-9.303375
LoVoCCS-4B,10.450983,-9.478774
LoVoCCS-5,303.101408,-56.848881
LoVoCCS-7,330.466217,-59.948751
LoVoCCS-9,67.811916,-61.453879
LoVoCCS-10,194.843593,-4.196278
LoVoCCS-11,137.324218,-9.682204
LoVoCCS-12,206.864435,-32.863823
LoVoCCS-13,49.490339,-44.237786
LoVoCCS-14,44.47481,13.034032
LoVoCCS-15,351.332395,-12.123933
LoVoCCS-18,194.673101,-1.761458
LoVoCCS-21,201.987196,-31.495616
LoVoCCS-22,308.715133,-35.823902
LoVoCCS-24,342.494562,-64.428457
LoVoCCS-26,333.631618,-10.373568
LoVoCCS-27,55.696684,-53.628293
LoVoCCS-28,184.421444,3.655871
LoVoCCS-29,10.530099,-28.537717
LoVoCCS-30,139.525305,-12.095976
LoVoCCS-31,332.573499,-12.176665
LoVoCCS-33,172.555438,-14.580987
LoVoCCS-35,341.585299,-52.720371
LoVoCCS-39,229.690526,6.232139
LoVoCCS-41A,202.710392,-1.860222
LoVoCCS-41B,202.796224,-1.729721
LoVoCCS-42,328.515236,-57.86686
LoVoCCS-45,26.24173,-53.01801
LoVoCCS-46A,335.949719,-1.650777
LoVoCCS-46B,336.057301,-1.528735
LoVoCCS-46C,335.949719,-1.650777
LoVoCCS-48A,194.300045,-17.412479
LoVoCCS-48B,194.453172,-17.27711
LoVoCCS-49,175.350096,-12.277583
LoVoCCS-51,334.501855,-65.181717
LoVoCCS-58,323.56601,-13.480555
LoVoCCS-60A,334.558725,-3.817136
LoVoCCS-60B,334.667718,-3.779693
LoVoCCS-61,336.528387,17.366721
LoVoCCS-63,229.073452,0.088042
LoVoCCS-65,201.81905,-27.209512
LoVoCCS-66A,328.089204,-19.548903
LoVoCCS-66B,328.04043,-19.722897
LoVoCCS-67,359.254712,-34.759064
LoVoCCS-74,332.335589,-51.818654
LoVoCCS-75,346.806282,-15.224595
LoVoCCS-76,348.255089,-21.634817
LoVoCCS-80,52.16132,-55.713841
LoVoCCS-85,12.345432,-29.520579
LoVoCCS-89,348.08257,-21.501155
LoVoCCS-90,227.872542,6.366504
LoVoCCS-93A,96.933364,-54.423162
LoVoCCS-93B,96.706577,-54.54274
LoVoCCS-94,191.143222,-11.999778
LoVoCCS-98,358.529698,-10.420472
LoVoCCS-99,194.340699,-30.344833
LoVoCCS-119,125.258572,7.863624
LoVoCCS-121,52.452404,-52.606815
LoVoCCS-123,193.666936,-29.227157
LoVoCCS-131,137.648184,-10.584819
LoVoCCS-134,329.600937,-60.405664
