,Tx,Tx_err,rad,rad_width
0,4.036,0.13,19.701,19.701
1,4.27,0.106,59.102,19.701
2,4.728,0.132,98.504,19.701
3,4.964,0.162,137.905,19.701
4,5.024,0.185,177.307,19.701
5,5.203,0.213,216.708,19.701
6,5.308,0.252,256.11,19.701
7,5.089,0.266,295.511,19.701
8,5.022,0.313,334.913,19.701
9,5.53,0.416,374.314,19.701
10,4.504,0.304,413.716,19.701
11,4.947,0.44,453.118,19.701
12,4.829,0.465,492.519,19.701
13,4.629,0.364,551.621,39.402
14,5.964,0.73,630.424,39.402
15,4.634,0.544,709.227,39.402
16,2.957,0.379,807.731,59.102
17,3.468,0.993,949.577,82.743
