,Tx,Tx_err,rad,rad_width
0,3.282,0.09,18.369,18.369
1,4.324,0.138,55.107,18.369
2,4.88,0.181,91.845,18.369
3,4.884,0.201,128.583,18.369
4,4.59,0.172,165.321,18.369
5,4.729,0.185,202.059,18.369
6,4.7,0.191,238.797,18.369
7,4.455,0.186,275.535,18.369
8,4.505,0.188,312.274,18.369
9,3.925,0.159,349.012,18.369
10,4.4,0.207,385.75,18.369
11,3.691,0.147,422.488,18.369
12,3.619,0.138,459.226,18.369
13,3.917,0.138,514.333,36.738
14,4.225,0.212,587.809,36.738
15,4.308,0.298,679.654,55.107
16,3.61,0.314,789.868,55.107
17,2.974,0.353,900.083,55.107
