,Tx,Tx_err,rad,rad_width
0,4.745,0.15,18.278,18.278
1,4.803,0.116,54.834,18.278
2,4.969,0.122,91.391,18.278
3,5.164,0.143,127.947,18.278
4,5.482,0.169,164.503,18.278
5,5.873,0.237,201.06,18.278
6,5.895,0.26,237.616,18.278
7,6.25,0.3,277.828,21.934
8,7.276,0.51,318.04,18.278
9,7.458,0.555,354.596,18.278
10,7.356,0.571,391.153,18.278
11,7.276,0.733,427.709,18.278
12,7.358,0.772,464.265,18.278
13,7.415,0.826,500.822,18.278
14,7.498,0.964,541.033,21.934
15,6.067,0.966,581.245,18.278
16,5.635,1.063,617.802,18.278
17,6.819,1.115,654.358,18.278
18,4.404,0.813,690.914,18.278
19,3.821,0.906,727.471,18.278
20,4.294,1.093,764.027,18.278
21,3.433,0.699,804.239,21.934
22,2.259,0.502,844.451,18.278
23,3.547,0.614,899.285,36.556
24,4.149,0.832,972.398,36.556
25,3.419,0.615,1049.166,40.212
