name,nH,Tx500,Tx500-,Tx500+,Zmet500,Zmet500-,Zmet500+,Lx500_0.5-2.0,Lx500_0.5-2.0-,Lx500_0.5-2.0+,Lx500_0.01-100.0,Lx500_0.01-100.0-,Lx500_0.01-100.0+,Tx500ce,Tx500ce-,Tx500ce+,Zmet500ce,Zmet500ce-,Zmet500ce+,Lx500ce_0.5-2.0,Lx500ce_0.5-2.0-,Lx500ce_0.5-2.0+,Lx500ce_0.01-100.0,Lx500ce_0.01-100.0-,Lx500ce_0.01-100.0+
LoVoCCS-7,0.0277,5.912,0.063,0.063,0.243,0.015,0.015,3.022,0.01,0.01,10.637,0.067,0.082,5.697,0.082,0.09,0.206,0.021,0.021,2.023,0.01,0.01,6.978,0.052,0.064
LoVoCCS-10,0.0153,5.576,0.089,0.088,0.287,0.026,0.026,3.007,0.015,0.015,10.325,0.099,0.12,5.449,0.132,0.143,0.173,0.036,0.037,1.89,0.013,0.014,6.367,0.096,0.099
LoVoCCS-13,0.0112,3.396,0.039,0.039,0.312,0.013,0.013,2.476,0.015,0.016,6.957,0.062,0.045,2.641,0.082,0.085,0.096,0.017,0.018,0.868,0.018,0.016,2.243,0.055,0.05
LoVoCCS-14,0.099,5.28,0.278,0.317,0.174,0.087,0.063,2.091,0.048,0.027,6.916,0.181,0.218,5.154,0.359,0.421,0.108,0.108,0.087,1.625,0.037,0.039,5.303,0.213,0.146
LoVoCCS-15,0.0224,3.175,0.011,0.011,0.246,0.004,0.004,2.602,0.008,0.006,6.917,0.017,0.023,2.959,0.026,0.026,0.106,0.007,0.007,0.907,0.006,0.005,2.346,0.019,0.019
LoVoCCS-18,0.0128,4.683,0.038,0.038,0.2,0.011,0.011,2.634,0.007,0.008,8.287,0.036,0.038,4.302,0.056,0.06,0.089,0.015,0.015,1.557,0.006,0.007,4.683,0.025,0.039
LoVoCCS-22,0.0293,4.25,0.083,0.091,0.091,0.023,0.023,1.93,0.011,0.01,5.778,0.073,0.069,4.513,0.114,0.125,0.126,0.031,0.032,1.469,0.011,0.011,4.523,0.073,0.044
LoVoCCS-24,0.0219,4.871,0.048,0.05,0.202,0.013,0.013,2.152,0.007,0.009,6.897,0.035,0.037,4.736,0.056,0.056,0.166,0.015,0.016,1.637,0.007,0.007,5.168,0.025,0.042
LoVoCCS-26,0.0422,4.649,0.077,0.077,0.336,0.025,0.026,2.134,0.013,0.011,6.749,0.05,0.076,4.847,0.127,0.139,0.276,0.037,0.039,1.301,0.01,0.01,4.18,0.075,0.041
LoVoCCS-28,0.0166,5.017,0.081,0.081,0.141,0.021,0.021,1.835,0.008,0.006,5.933,0.045,0.068,4.79,0.101,0.107,0.105,0.025,0.026,1.37,0.008,0.007,4.328,0.05,0.045
