LoVoCCS_name,cen_shift,cen_shift-,cen_shift+,concentration
LoVoCCS-1,0.0063,0.0001,0.0001,0.4229
LoVoCCS-2,0.0663,0.0006,0.0007,0.1645
LoVoCCS-4A,nan,nan,nan,nan
LoVoCCS-4B,nan,nan,nan,nan
LoVoCCS-5,0.0825,0.0004,0.0003,0.1254
LoVoCCS-7,0.0429,0.0008,0.0006,0.2411
LoVoCCS-9,0.0861,0.0005,0.0005,0.152
LoVoCCS-10,0.0132,0.0007,0.0006,0.2673
LoVoCCS-11,0.0622,0.0003,0.0003,0.1586
LoVoCCS-12,0.0218,0.0002,0.0003,0.2593
LoVoCCS-13,0.0118,0.0001,0.0001,0.5152
LoVoCCS-14,0.0648,0.001,0.0009,0.1445
LoVoCCS-15,0.0014,0.0001,0.0001,0.6416
LoVoCCS-18,0.0054,0.0003,0.0004,0.3323
LoVoCCS-21,0.0347,0.0003,0.0003,0.2378
LoVoCCS-22,0.0545,0.001,0.0012,0.2119
LoVoCCS-24,0.0334,0.0016,0.0013,0.2172
LoVoCCS-26,0.0083,0.0009,0.0008,0.3346
LoVoCCS-27,0.0074,0.0005,0.0005,0.2091
LoVoCCS-28,0.0187,0.0005,0.0005,0.159
LoVoCCS-29,0.0031,0.0004,0.0003,0.2267
LoVoCCS-30,0.0038,0.0,0.0,0.5119
LoVoCCS-31,0.0339,0.0009,0.0009,0.1624
LoVoCCS-35,0.0845,0.0014,0.0012,0.0978
LoVoCCS-39,0.0052,0.0006,0.0007,0.7469
LoVoCCS-41A,0.0231,0.0008,0.0008,0.226
LoVoCCS-41B,0.0342,0.0014,0.001,0.1745
LoVoCCS-42,0.0401,0.0015,0.0016,0.1556
LoVoCCS-45,0.0105,0.0009,0.0011,0.1472
LoVoCCS-46A,0.095,0.0009,0.0008,0.2004
LoVoCCS-46B,0.017,0.0026,0.0042,0.0899
LoVoCCS-46C,0.0948,0.0008,0.0011,0.202
LoVoCCS-48A,0.0126,0.0004,0.0005,0.1967
LoVoCCS-48B,0.084,0.0012,0.0014,0.1663
LoVoCCS-49,0.0036,0.0009,0.0009,0.4535
LoVoCCS-51,0.0143,0.0013,0.0014,0.2963
LoVoCCS-58,0.0841,0.0022,0.0024,0.2459
LoVoCCS-60A,0.0774,0.0009,0.0007,0.1194
LoVoCCS-60B,0.0091,0.0005,0.0005,0.2662
LoVoCCS-61,0.0512,0.0006,0.0004,0.2281
LoVoCCS-63,0.0112,0.0008,0.0009,0.215
LoVoCCS-65,0.0843,0.0013,0.0017,0.0612
LoVoCCS-66A,0.023,0.0015,0.0015,0.3518
LoVoCCS-66B,0.0509,0.0022,0.0028,0.3089
LoVoCCS-67,0.0062,0.0002,0.0002,0.4472
LoVoCCS-74,0.0162,0.002,0.0026,0.2251
LoVoCCS-75,0.0215,0.0014,0.0012,0.4309
LoVoCCS-76,0.0085,0.0007,0.0007,0.5059
LoVoCCS-80,0.0366,0.0014,0.0013,0.2612
LoVoCCS-85,0.0081,0.0013,0.0011,0.3403
LoVoCCS-89,0.0197,0.0021,0.0018,0.2336
LoVoCCS-90,0.0404,0.0022,0.0029,0.1343
LoVoCCS-93A,0.0385,0.0014,0.0012,0.1059
LoVoCCS-93B,0.0889,0.0018,0.0017,0.2085
LoVoCCS-94,0.0187,0.0014,0.001,0.3461
LoVoCCS-98,0.0714,0.0008,0.001,0.1851
LoVoCCS-99,0.0306,0.0013,0.0011,0.138
LoVoCCS-119,0.0038,0.0003,0.0003,0.5382
LoVoCCS-121,0.0818,0.0009,0.0011,0.1882
LoVoCCS-123,0.0197,0.0007,0.0009,0.3569
LoVoCCS-131,0.0129,0.002,0.0017,0.1961
LoVoCCS-134,0.0286,0.004,0.0034,0.0967
