,Tx,Tx_err,rad,rad_width
0,6.308,0.25,34.544,34.544
1,6.897,0.314,86.36,17.272
2,6.649,0.252,120.904,17.272
3,6.562,0.266,155.448,17.272
4,6.23,0.228,189.992,17.272
5,5.884,0.231,224.536,17.272
6,5.924,0.229,262.534,20.726
7,5.575,0.245,300.532,17.272
8,5.346,0.236,335.076,17.272
9,5.339,0.254,369.62,17.272
10,5.076,0.252,404.164,17.272
11,4.985,0.207,455.98,34.544
12,4.522,0.208,528.522,37.998
13,3.698,0.238,601.064,34.544
14,3.605,0.243,687.424,51.816
15,2.618,0.246,811.783,72.542
16,1.899,0.333,991.411,107.086
