,Tx,Tx_err,rad,rad_width
0,3.23,0.089,36.738,36.738
1,3.708,0.143,91.845,18.369
2,4.223,0.178,128.583,18.369
3,4.323,0.177,165.321,18.369
4,4.522,0.21,202.059,18.369
5,4.355,0.18,238.797,18.369
6,4.464,0.178,275.535,18.369
7,4.136,0.156,312.273,18.369
8,4.601,0.173,349.011,18.369
9,4.682,0.175,385.749,18.369
10,4.99,0.201,422.487,18.369
11,4.136,0.12,459.225,18.369
12,3.978,0.131,495.963,18.369
13,4.628,0.208,532.702,18.369
14,5.07,0.344,569.44,18.369
15,4.711,0.334,606.178,18.369
16,4.788,0.333,661.285,36.738
17,3.617,0.313,753.13,55.107
18,2.241,0.304,885.387,77.15
