,Tx,Tx_err,rad,rad_width
0,4.745,0.15,18.278,18.278
1,4.803,0.116,54.834,18.278
2,4.969,0.122,91.391,18.278
3,5.164,0.143,127.947,18.278
4,5.482,0.169,164.503,18.278
5,5.873,0.237,201.06,18.278
6,5.895,0.26,237.616,18.278
7,6.25,0.3,277.828,21.934
8,7.276,0.51,318.04,18.278
9,7.458,0.555,354.596,18.278
10,7.356,0.571,391.153,18.278
11,7.276,0.733,427.709,18.278
12,7.358,0.772,464.265,18.278
13,7.415,0.826,500.822,18.278
14,6.895,0.836,541.033,21.934
15,5.712,0.856,581.245,18.278
16,7.014,1.088,636.08,36.556
17,5.151,0.871,709.193,36.556
18,3.955,0.663,785.961,40.212
19,2.66,0.65,862.729,36.556
20,3.356,0.644,935.842,36.556
21,3.663,0.582,1030.888,58.49
