parent_LoVoCCSID,cluster,redshift_target,BCG_ra,BCG_dec,mass_map_ra,mass_map_dec,RS_map_ra,RS_map_dec,BCG_angle,mass_map_angle_05,mass_map_angle_10,mass_map_angle_20,RS_map_angle_05,RS_map_angle_10,RS_map_angle_20,cluster_type
1,A2029,0.0773,227.73377113835704,5.744818797160386,227.73170378631164,5.775643594670491,227.74269228452388,5.770095305208274,-62.61,84.60219629372118,83.57051570007201,-69.68925283,-74.37801212,-74.17077531,-84.28021634,a
2,A401,0.0743,44.74080088448228,13.582685551436711,44.741462460682264,13.582398547745585,44.74269362659011,13.579044589131913,-63.16,-6.824411701,0.6401140292048487,-24.65401134,-61.3474897,-47.58540632,-58.13883214,a
4,A85,0.0556,10.460318908163622,-9.303483546,10.44673941986529,-9.332132648,10.4050898,-9.312744499,58.59,-70.09550896,-84.0319523,-40.61094165,84.70846796822808,72.22068191,74.50813765,b
5,A3667,0.0552,303.11393090192354,-56.82678783,303.13591355891447,-56.84564143,303.15073810115007,-56.83633856,44.27,-68.92925873,79.59599627557533,-84.32504763,38.48284685286826,44.17510658962391,48.13976507131453,a
7,A3827,0.0972,330.46962089185286,-59.94659708,330.45866703567555,-59.94237361,330.4811286870096,-59.93751815,72.4,78.18199112836888,68.84308927684658,56.923348799284945,72.85300797,64.10156244713617,83.36213837295942,a
9,A3266,0.0577,67.80532098835579,-61.45334429,67.79935092458796,-61.43292394,67.82317534577322,-61.44500747,-9.76,-74.27432168,80.47980579073035,86.42309825010256,-25.38246249,-24.22717298,-43.98850195,a
10,A1651,0.08384203,194.8436751,-4.196089045,194.8293387712892,-4.201678209,194.85129776948494,-4.196205867,-12.7,21.32076711128032,23.34930962291979,-65.84708221,-6.463090342,-1.649556401,-10.02447022,a
11,A754,0.0535,137.13485000524543,-9.629679349,137.14038002281453,-9.649100758,137.12415963967922,-9.63171482,21.85,28.691406570571864,35.04597688139349,51.45766320539426,19.319713151108427,21.398722787256034,8.420281447456459,a
12,A3571,0.0397,206.86818240349572,-32.86425843,206.8893160610067,-32.90634829,206.85018291945946,-32.87529555,-84.7,65.09539433932827,61.85981060477304,17.791101963480372,83.90295231480181,88.43909310184759,85.55837327431057,a
13,A3112,0.0759,49.490277857574995,-44.23826999,49.493384215207634,-44.27384898,49.50318233426829,-44.22104337,-83.66,-75.01266367,-87.39240126,82.31971074826147,-53.32364534,-67.94652368,83.57196685278959,a
14,A399,0.0718,44.47132680400537,13.030893681250674,44.45653161088649,13.034334692528445,44.44278610754846,13.016355662420937,-43.18,-33.15666997,-10.4729288,-9.624987083,-64.18093001,-34.35848065,-39.62624353,a
15,A2597,0.0824,351.3322681913289,-12.12422587,351.3241256870014,-12.12702549,351.3138549190378,-12.11147603,49.68,68.32365195383468,-66.83484493,-65.58115898,51.55321788524528,80.8972651,75.55056466065803,a
18,A1650,0.0843,194.67290467631162,-1.761414833,194.6675984403433,-1.776560767,194.68010871890405,-1.768680329,70.97,42.87226002948894,53.55322753589536,11.381389085791525,70.49923472394977,64.77922127,67.39481332006673,a
21,A3558,0.0469,201.98685568910523,-31.49611292,201.97763148253588,-31.48057198,201.96679449763755,-31.52182791,74.5,70.43943219507544,67.37678229,54.17006302989634,46.721888246256896,44.577235830072404,10.70503799322628,a
22,A3695,0.089375,308.68948984616844,-35.82400446,308.69013817655525,-35.82655543,308.68937099117863,-35.78411781,63.18,41.78567478299939,2.5127751352041394,-11.65748546,54.03259220945711,79.59760559242369,82.25365626823348,a
24,A3921,0.089,342.49261121002513,-64.42965182,342.48190773463324,-64.35258836,342.44051297825104,-64.43006443,-5.13,-75.86316437,-39.12670935,-22.51818323,0.2873668896469073,4.890427327,-10.65180529,a
26,A2426,0.103,333.63160707536053,-10.37400251,333.6326235545841,-10.34694726,333.6394884354319,-10.36661039,-4.83,76.84902930669595,82.43635415,68.07606561,-13.66168524,-10.84978723,76.22295983796862,a
27,A3158,0.059,55.7207169,-53.63126929,55.75118095718964,-53.64624297,55.74938531726162,-53.64375408,2.54,-76.78431417,-22.33376246,44.16863613072679,12.722833025765917,32.83766613524949,56.199193785758936,a
28,RXCJ1217.6+0339,0.0772,184.42137393760686,3.6558608510611683,184.40422903920734,3.6449514489025154,184.4276034283361,3.6650474335710634,-81.72,-28.99745826,-32.27689066,20.854200442974584,-21.87379381,-45.25064657,-56.39253721,a
29,A2811,0.107605,10.537034287871732,-28.5357391,10.543776327049125,-28.53828957,10.541235625570827,-28.53971655,40.79,-7.074718273,50.207853032067064,53.13335701118101,6.465663165679411,34.619034061120956,30.83365144440561,a
30,A780,0.0522,139.52362144581932,-12.09550075,139.5180914877626,-12.12196038,139.53226162285569,-12.12384654,59.33,3.4705991853932776,33.467071955281945,48.55623725212585,68.29859044395376,67.53438456033723,58.55534463155496,a
31,A2420,0.0846,332.5782248610006,-12.17056038,332.56589568275757,-12.1644722,332.56258662938313,-12.19339164,-42.19,15.750923470462643,13.193965149870404,-62.82089704,-63.58792229,-53.77243109,-44.1655449,a
33,A1285,0.11,172.59944019149714,-14.58135517,172.5801571118017,-14.58575405,172.59168261148994,-14.58473627,31.9,47.052095264576565,44.17496350945555,52.021610241545524,30.836917050605273,62.23355735807055,61.05301506,b
