LoVoCCSID,Name,start_ra,start_dec,MCXC_Redshift,MCXC_R500,MCXC_RA,MCXC_DEC,manual_xray_ra,manual_xray_dec
1,A2029,227.7342997,5.7454708,0.0766,1.3344,227.73,5.72,227.7342997,5.7454708
2,A401,44.74,13.58,0.0739,1.2421,44.74,13.58,,
4A,A85North,10.45875,-9.301944444,0.0555,1.2103,10.45875,-9.301944444,,
4B,A85South,10.4514869,-9.4600066,0.0555,1.2103,10.45875,-9.301944444,10.4514869,-9.4600066
5,A3667,303.1573131,-56.8459781,0.0556,1.199,303.13,-56.83,303.1573131,-56.8459781
7,A3827,330.48,-59.95,0.098,1.1367,330.48,-59.95,,
9,A3266,67.8304873,-61.4474009,0.0589,1.1485,67.85,-61.44,67.8304873,-61.4474009
10,A1651,194.84,-4.19,0.0845,1.1252,194.84,-4.19,,
11,A754,137.28,-9.67,0.0542,1.1439,137.28,-9.67,,
12,A3571,206.87,-32.85,0.0391,1.1514,206.87,-32.85,,
13,A3112,49.49,-44.24,0.0752,1.1288,49.49,-44.24,,
14,A399,44.46,13.05,0.0722,1.1169,44.46,13.05,,
15,A2597,351.33,-12.13,0.0852,1.1066,351.33,-12.13,,
18,A1650,194.67125,-1.756944444,0.0845,1.1015,194.67125,-1.756944444,,
21,A3558,201.99,-31.5,0.048,1.101,201.99,-31.5,,
22,A3695,308.6941302,-35.8236,0.0894,1.0637,308.7,-35.81,308.6941302,-35.8236
24,A3921,342.4875,-64.42944444,0.094,1.051,342.4875,-64.42944444,,
26,A2426,333.6358333,-10.37166667,0.098,1.0442,333.6358333,-10.37166667,,
27,A3158,55.72,-53.64,0.059,1.0667,55.72,-53.64,,
28,RXC J1217.6+0339,184.42,3.66,0.0766,1.0548,184.42,3.66,,
29,A2811,10.54,-28.54,0.1082,1.0355,10.54,-28.54,,
30,A780,139.53,-12.09,0.0539,1.0658,139.53,-12.09,,
31,A2420,332.58,-12.18,0.0846,1.0445,332.58,-12.18,,
33,A1285,172.5920073,-14.5761011,0.1068,1.0262,172.58125,-14.58305556,172.5920073,-14.5761011
35,A3911,341.5775,-52.72944444,0.0965,1.0289,341.5775,-52.72944444,,
39,A2055,229.69,6.23,0.1021,0.9979,229.69,6.23,,
41A,A1750Centre,202.7074673,-1.8622397,0.0852,0.9968,202.7079167,-1.872777778,202.7074673,-1.8622397
41B,A1750North,202.7934299,-1.7268377,0.0852,0.9968,202.7079167,-1.872777778,202.7934299,-1.7268377
41C,A1750South,202.55656,-2.0944916,0.0852,0.9968,202.7079167,-1.872777778,202.55656,-2.0944916
42,A3822,328.5383333,-57.85527778,0.076,0.9991,328.5383333,-57.85527778,,
45,A2941,26.25958333,-53.01388889,0.1168,0.968,26.25958333,-53.01388889,,
46A,A2440Centre,335.9876863,-1.5832489,0.0906,0.9716,335.97,-1.64,335.9876863,-1.5832489
