LoVoCCSID,cluster_name,bcg1_name,bcg1_ra,bcg1_dec,bcg1_z,bcg1_z_src,bcg1_pa,bcg1_pa_src,bcg1_vlass,bcg1_notes,bcg2_name,bcg2_ra,bcg2_dec,bcg2_z,bcg2_z_src,bcg2_pa,bcg2_pa_src,bcg2_vlass,bcg2_notes,bcg3_name,bcg3_ra,bcg3_dec,bcg3_z,bcg3_z_src,bcg3_pa,bcg3_pa_src,bcg3_vlass,bcg3_notes
1,A2029,,227.7337,5.7449,0.078,https://dev-rcsed2.voxastro.org/data/galaxy/38386,24.8,RCSED,True,VLASS jets,,,,,,,,,,,,,,,,,,
2,A401,,44.7410,13.5829,0.0739,https://dev-rcsed2.voxastro.org/data/galaxy/7117,29.0,RCSED,False,,,,,,,,,,,,,,,,,,,
4A,A85North,,10.4602,-9.3032,0.05536,https://dev-rcsed2.voxastro.org/data/galaxy/1604,148.9,RCSED,True,Compact VLASS;IFU Spectra,,,,,,,,,,,,,,,,,,
4B,A85South,,10.4288,-9.4395,0.0563,https://dev-rcsed2.voxastro.org/data/galaxy/1588,135.4,RCSED,True,Compact VLASS; IFU Spectra,,,,,,,,,,,,,,,,,,
5,A3667,,303.1139,-56.8266,0.0554,https://dev-rcsed2.voxastro.org/data/galaxy/44960,143.3,RCSED,,,,,,,,,,,,,,,,,,,,
7,A3827,,330.4713,-59.9453,0.0998,https://dev-rcsed2.voxastro.org/data/galaxy/47264,120.7,RCSED,,Blended with other galaxies,,,,,,,,,,,,,,,,,,
9,A3266,,67.8059,-61.4537,0.0615,https://dev-rcsed2.voxastro.org/data/galaxy/9544,64.3,RCSED,,Merging with 2nd candidate?,,67.8005,-61.4542,0.0592,https://dev-rcsed2.voxastro.org/data/galaxy/806922,,,,,,,,,,,,,
10,A1651,,194.8437,-4.1958,0.0853,https://dev-rcsed2.voxastro.org/data/galaxy/54612,62.5,RCSED,True,Compact VLASS,,,,,,,,,,,,,,,,,,
11,A754,,137.1352004,-9.6299175,0.0548,https://dev-rcsed2.voxastro.org/data/galaxy/15931,122.3,RCSED,False,Legacy Survey incomplete coverage,,,,,,,,,,,,,,,,,,
12,A3571,,206.8678,-32.8641,0.0385,https://dev-rcsed2.voxastro.org/data/galaxy/34017,3.1,RCSED,True,Compact VLASS,,,,,,,,,,,,,,,,,,
13,A3112,,49.4903,-44.2379,0.0758,https://dev-rcsed2.voxastro.org/data/galaxy/7737,12.5,RCSED,,,,,,,,,,,,,,,,,,,,
14,A399,,44.4716147,13.0313082,0.0713,https://dev-rcsed2.voxastro.org/data/galaxy/7068,58.0,RCSED,False,No Legacy Survey coverage,,,,,,,,,,,,,,,,,,
15,A2597,,351.3321,-12.1243,0.0824,https://dev-rcsed2.voxastro.org/data/galaxy/49545,134.0,RCSED,True,Extended significant VLASS,,,,,,,,,,,,,,,,,,
18,A1650,,194.6729,-1.7610,0.0844,https://dev-rcsed2.voxastro.org/data/galaxy/194446,155.0,RCSED,False,,,,,,,,,,,,,,,,,,,
21,A3558,,201.9871,-31.4953,0.0469,https://dev-rcsed2.voxastro.org/data/galaxy/32620,160.8,RCSED,,,,,,,,,,,,,,,,,,,,
22,A3695,,308.6894,-35.8236,0.0898,https://dev-rcsed2.voxastro.org/data/galaxy/45425,137.8,RCSED,False,,,308.6862,-35.8173,0.0888,https://dev-rcsed2.voxastro.org/data/galaxy/45423,,,True,Significant VLASS around and North,,,,,,,,,
24,A3921,,342.4924,-64.4296,0.0941,https://dev-rcsed2.voxastro.org/data/galaxy/64158,85.8,RCSED,,,,,,,,,,,,,,,,,,,,
26,A2426,,333.6317,-10.3739,0.099,https://dev-rcsed2.voxastro.org/data/galaxy/915887,-89.8,RCSED,False,RCSED shape source was legacy for this (everything else HyperLEDA); very tenuous VLASS emission above BCG,,,,,,,,,,,,,,,,,,
27,A3158,,55.7209,-53.6310,0.0582,https://dev-rcsed2.voxastro.org/data/galaxy/8571,88.2,RCSED,,,,55.7522,-53.6382,0.0587,https://dev-rcsed2.voxastro.org/data/galaxy/8575,,,,,,,,,,,,,
28,RXC J1217.6+0339,,184.4212,3.6561,0.0768,https://dev-rcsed2.voxastro.org/data/galaxy/27123,4.2,RCSED,False,,,,,,,,,,,,,,,,,,,
29,A2811,,10.5373,-28.5363,0.109,https://dev-rcsed2.voxastro.org/data/galaxy/80208,119.0,RCSED,False,,,,,,,,,,,,,,,,,,,
30,A780,,139.5234,-12.0955,0.0548,https://dev-rcsed2.voxastro.org/data/galaxy/16393,133.1,RCSED,True,Very significant VLASS - HYDRA A is in A780,,,,,,,,,,,,,,,,,,
31,A2420,,332.5780,-12.1702,0.083,https://dev-rcsed2.voxastro.org/data/galaxy/71275,49.0,RCSED,True,VLASS jets,,,,,,,,,,,,,,,,,,
33,A1285,,172.5993,-14.5813,0.107,https://dev-rcsed2.voxastro.org/data/galaxy/161881,111.7,RCSED,,VLASS missing around this cluster,,172.5760,-14.5558,,,,,,No redshift even in NED,,,,,,,,,
35,A3911,,341.5644,-52.7244,0.0974,https://dev-rcsed2.voxastro.org/data/galaxy/48461,148.2,RCSED,,Spec coord offset,,341.5626,-52.7208,,,,,,Interacting with BCG1 - loads of ICL/stellar big merger feature (known); can't find specific z,,,,,,,,,
39,A2055,,229.6903,6.2321,0.102,https://dev-rcsed2.voxastro.org/data/galaxy/58311,172.6,RCSED,True,VLASS significant jets,,,,,,,,,,,,,,,,,,
41A,A1750Centre,,202.7107,-1.8625,0.0879,https://dev-rcsed2.voxastro.org/data/galaxy/57923,73.3,RCSED,False,,,,,,,,,,,,,,,,,,,
41B,A1750North,,202.7959,-1.7273,0.0835,https://dev-rcsed2.voxastro.org/data/spec/364637,,,True,RCSED attributes spec to other galaxy but it is centered on poss. BCG; VLASS faint point,,,,,,,,,,,,,,,,,,
41C,A1750South,,202.5430,-2.1051,0.0866,https://dev-rcsed2.voxastro.org/data/galaxy/32813,111.9,RCSED,True,VLASS significant - perhaps interacting jets with other BCG?,,202.5456,-2.1038,0.0863,https://dev-rcsed2.voxastro.org/data/galaxy/32817,98.7,RCSED,True,VLASS significant interacting?,,,,,,,,,
42,A3822,,328.5171,-57.8674,0.0756,https://ned.ipac.caltech.edu/byname?objname=WISEA+J215404.18-575203.2&hconst=67.8&omegam=0.308&omegav=0.692&wmap=4&corr_z=1,,,,,,328.5466,-57.8446,0.074,https://dev-rcsed2.voxastro.org/data/galaxy/64405,40.3,RCSED,,,,,,,,,,,
45,A2941,,26.2400,-53.0199,,,,,,No redshift in NED either; BCGs are pretty ambiguous,,26.2455,-53.0199,0.118,https://dev-rcsed2.voxastro.org/data/galaxy/811226,-89.8,RCSED,,,,26.2648,-53.0229,0.1183,https://ned.ipac.caltech.edu/byname?objname=WISEA+J014503.58-530123.3&hconst=67.8&omegam=0.308&omegav=0.692&wmap=4&corr_z=1,,,,Maybe a smidge bigger?
46A,A2440Centre,,335.9872,-1.5832,0.09,https://dev-rcsed2.voxastro.org/data/galaxy/57953,42.7,RCSED,False,,,,,,,,,,,,,,,,,,,
46B,A2440North,,336.0569,-1.5285,0.0933,https://ned.ipac.caltech.edu/byname?objname=2MASS+J22241366-0131426&hconst=67.8&omegam=0.308&omegav=0.692&wmap=4&corr_z=1,,,False,,,,,,,,,,,,,,,,,,,
