LoVoCCSID,Name,mass_cent_ra,mass_cent_dec,mass_pos_angle_1Mpc,redseq_cent_ra,redseq_cent_dec,redseq_pos_angle_1Mpc
1,A2029,227.73, 5.78,84,227.74,5.77,-74
2,A401,44.74,13.58,1,44.74,13.58,-48
4A,A85North,10.45,-9.33,-84,10.41,-9.31,72
4B,A85South,,,,,,
5,A3667,303.14,-56.85,80,303.15,-56.84,44
7,A3827,330.46,-59.94,69,330.48,-59.94,64
9,A3266,67.80,-61.43,80,67.82,-61.45,-24
10,A1651,194.83,-4.20,23,194.85,-4.20,-2
11,A754,137.14,-9.65,35,137.12,-9.63,21
12,A3571, 206.89,-32.91,62,206.85, -32.88,88
13,A3112,49.49,-44.27,-87,49.50,-44.22,-68
14,A399,44.46,13.03,-10,44.44,13.02,-34
15,A2597,351.32,-12.13,-67,351.31,-12.11, 81
18,A1650, 194.67,-1.78,194.68,-1.77,54,65
21,A3558,201.98,-31.48,201.97,-31.52, 67,45
22,A3695,308.69,-35.83,308.69,-35.78,3,80
24,A3921,342.48,-64.35,342.44,-64.43,-39,5
26,A2426,333.63,-10.35, 333.64,-10.37,82,-11
27,A3158, 55.75,-53.65, 55.75,-53.64,-22,33
28,RXC J1217.6+0339, 184.40, 3.64,184.43,3.67,-32,-45
29,A2811,10.54,-28.54, 10.54,-28.54, 50, 35
30,A780,139.52,-12.12,139.53,-12.12,33, 68
31,A2420,332.57,-12.16, 332.56,-12.19,13,-54
33,A1285,172.58,-14.59, 172.59,-14.58, 44,62
35,A3911,341.54,-52.72,341.52,-52.69,3, 55
39,A2055,229.73, 6.26, 229.69,6.25,-76,66
41A,A1750Centre,202.78,-1.73,202.71,-1.87,-59,-56
41B,A1750North,,,,,,
41C,A1750South,,,,,,
42,A3822,328.55,-57.87,328.55,-57.85, 63,-46
45,A2941,26.31,-53.06,26.28,-53.02, -78, 23
46A,A2440Centre, 336.00,-1.60, 335.97,-1.62,25,-41
46B,A2440North,,,,,,
46C,A2440South,,,,,,
48A,A1644S,194.30,-17.41, 194.38,-17.25, 83,89
48B,A1644N,,,,,,
49,A1348,175.35,-12.27,175.38,-12.26,-20,-14
51,RBS 1847,,,,,,
55,RXC J1215.4-3900,,,,,,
58,A2351,,,,,,
60A,RXC J2218.2-0350 East,,,,,,
60B,RXC J2218.2-0350 West,,,,,,
61,A2443,,,,,,
63,A2050,,,,,,
65,A1736,,,,,,
66A,A2384North,,,,,,
66B,A2384South,,,,,,
67,A4059,,,,,,
74,A3836,,,,,,
75,A2533,,,,,,
76,A2556,,,,,,
80,A3126,,,,,,
85,RXC J0049.4-2931,,,,,,
89,A2554,,,,,,
90,A2033,,,,,,
93A,A3395North,,,,,,
93B,A3395South,,,,,,
94,A1606,,,,,,
98,A2670,,,,,,
99,A3532,,,,,,
108,RXC J1139.4-3327,,,,,,
119,RX J0820.9+0751/RXC J0821.0+0751,,,,,,
121,A3128,,,,,,
122,A1023,,,,,,
123,A3528,,,,,,
131,A761,,,,,,
134,A3825,,,,,,
