name,multi_name,file_name
,LoVoCCS-1-90,LoVoCCS-1-90_M_ap_SNR_b100_Rs15000_maxEsnr.fits
,LoVoCCS-2-14,LoVoCCS-2-14_M_ap_SNR_b100_Rs7000_maxEsnr.fits
LoVoCCS-4,,LoVoCCS-4_M_ap_SNR_b100_Rs15000_maybemaxsnr.fits
LoVoCCS-5,,LoVoCCS-5_M_ap_SNR_b100_Rs14000_maxEsnr.fits
,LoVoCCS-7-134,LoVoCCS-7-134_M_ap_SNR_b100_Rs3000_maxEsnr.fits
LoVoCCS-9,,LoVoCCS-9_M_ap_SNR_b100_Rs13000_maxEsnr.fits
LoVoCCS-10,,LoVoCCS-10_M_ap_SNR_b100_Rs12000_maxEsnr.fits
LoVoCCS-11,,LoVoCCS-11_M_ap_SNR_b100_Rs14000_maxEsnr.fits
LoVoCCS-12,,LoVoCCS-12_M_ap_SNR_b100_Rs11000_maxEsnr.fits
LoVoCCS-13,,LoVoCCS-13_M_ap_SNR_b100_Rs11000_maxEsnr.fits
LoVoCCS-15,,LoVoCCS-15_M_ap_SNR_b100_Rs3000_maxEsnr.fits
LoVoCCS-18,,LoVoCCS-18_M_ap_SNR_b100_Rs15000_maxEsnr.fits
LoVoCCS-21,,LoVoCCS-21_M_ap_SNR_b100_Rs27000_maxEsnr.fits
LoVoCCS-22,,LoVoCCS-22_M_ap_SNR_b100_Rs8000_maxEsnr.fits
LoVoCCS-24,,LoVoCCS-24_M_ap_SNR_b100_Rs12000_maxEsnr.fits
LoVoCCS-26,,LoVoCCS-26_M_ap_SNR_b100_Rs14000_maxEsnr.fits
LoVoCCS-27,,LoVoCCS-27_M_ap_SNR_b100_Rs11000_maxEsnr.fits
LoVoCCS-28,,LoVoCCS-28_M_ap_SNR_b100_Rs7000_maxEsnr.fits
LoVoCCS-29,,LoVoCCS-29_M_ap_SNR_b100_Rs6000_maxEsnr.fits
LoVoCCS-30,,LoVoCCS-30_M_ap_SNR_b100_Rs4000_maxEsnr.fits
LoVoCCS-31,,LoVoCCS-31_M_ap_SNR_b100_Rs7000_maxEsnr.fits
LoVoCCS-33,,LoVoCCS-33_M_ap_SNR_b100_Rs12000_maxEsnr.fits
LoVoCCS-35,,LoVoCCS-35_M_ap_SNR_b100_Rs10000_maxEsnr.fits
LoVoCCS-39,,LoVoCCS-39_M_ap_SNR_b100_Rs3000_maxEsnr.fits
LoVoCCS-41,,LoVoCCS-41_M_ap_SNR_b100_Rs17000_maxEsnr.fits
LoVoCCS-42,,LoVoCCS-42_M_ap_SNR_b100_Rs12000_maxEsnr.fits
LoVoCCS-45,,LoVoCCS-45_M_ap_SNR_b100_Rs6000_maxEsnr.fits
LoVoCCS-46,,LoVoCCS-46_M_ap_SNR_b100_Rs11000_maxEsnr.fits
LoVoCCS-48,,LoVoCCS-48_M_ap_SNR_b100_Rs13000_maxEsnr.fits
LoVoCCS-49,,LoVoCCS-49_M_ap_SNR_b100_Rs6000_maxEsnr.fits
LoVoCCS-51,,LoVoCCS-51_M_ap_SNR_b100_Rs9000_maxEsnr.fits
LoVoCCS-55,,LoVoCCS-55_M_ap_SNR_b100_Rs9000_maxEsnr.fits
LoVoCCS-58,,LoVoCCS-58_M_ap_SNR_b100_Rs3000_maxEsnr.fits
LoVoCCS-60,,LoVoCCS-60_M_ap_SNR_b100_Rs5000_maxEsnr.fits
LoVoCCS-61,,LoVoCCS-61_M_ap_SNR_b100_Rs5000_maxEsnr.fits
LoVoCCS-63,,LoVoCCS-63_M_ap_SNR_b100_Rs4000_maxEsnr.fits
LoVoCCS-65,,LoVoCCS-65_M_ap_SNR_b100_Rs11000_maxEsnr.fits
LoVoCCS-66,,LoVoCCS-66_M_ap_SNR_b100_Rs7000_maxEsnr.fits
LoVoCCS-67,,LoVoCCS-67_M_ap_SNR_b100_Rs5000_maxEsnr.fits
LoVoCCS-74,,LoVoCCS-74_M_ap_SNR_b100_Rs6000_maxEsnr.fits
LoVoCCS-75,,LoVoCCS-75_M_ap_SNR_b100_Rs8000_maxEsnr.fits
,LoVoCCS-76-89,LoVoCCS-76-89_M_ap_SNR_b100_Rs6000_maxEsnr.fits
LoVoCCS-80,,LoVoCCS-80_M_ap_SNR_b100_Rs3000_maxEsnr.fits
LoVoCCS-85,,LoVoCCS-85_M_ap_SNR_b100_Rs4000_maxEsnr.fits
LoVoCCS-93,,LoVoCCS-93_M_ap_SNR_b100_Rs10000_maxEsnr.fits
LoVoCCS-94,,LoVoCCS-94_M_ap_SNR_b100_Rs6000_maxEsnr.fits
LoVoCCS-98,,LoVoCCS-98_M_ap_SNR_b100_Rs10000_maxEsnr.fits
LoVoCCS-99,,LoVoCCS-99_M_ap_SNR_b100_Rs9000_maxEsnr.fits
LoVoCCS-108,,LoVoCCS-108_M_ap_SNR_b100_Rs4000_maxEsnr.fits
LoVoCCS-119,,LoVoCCS-119_M_ap_SNR_b100_Rs4000_maxEsnr.fits
LoVoCCS-121,,LoVoCCS-121_M_ap_SNR_b100_Rs11000_maxEsnr.fits
LoVoCCS-122,,LoVoCCS-122_M_ap_SNR_b100_Rs5000_maxEsnr.fits
LoVoCCS-123,,LoVoCCS-123_M_ap_SNR_b100_Rs26000_maxEsnr.fits
LoVoCCS-131,,LoVoCCS-131_M_ap_SNR_b100_Rs3000_maxEsnr.fits
